Data;Dia;month;is_holiday;is_pre_holiday;is_post_holiday;is_black_friday;is_christmas;is_mothers_day;is_month_start;is_month_end;is_pre_bf_dip;is_pre_bf_peak ;is_post_black_friday
04/04/2021;Sunday;4;0;0;0;0;0;0;0;0;0;0;0
05/04/2021;Monday;4;0;0;0;0;0;0;0;0;0;0;0
06/04/2021;Tuesday;4;0;0;0;0;0;0;0;0;0;0;0
07/04/2021;Wednesday;4;0;0;0;0;0;0;0;0;0;0;0
08/04/2021;Thursday;4;0;0;0;0;0;0;0;0;0;0;0
09/04/2021;Friday;4;0;0;0;0;0;0;0;0;0;0;0
10/04/2021;Saturday;4;0;0;0;0;0;0;0;0;0;0;0
11/04/2021;Sunday;4;0;0;0;0;0;0;0;0;0;0;0
12/04/2021;Monday;4;0;0;0;0;0;0;0;0;0;0;0
13/04/2021;Tuesday;4;0;0;0;0;0;0;0;0;0;0;0
14/04/2021;Wednesday;4;0;0;0;0;0;0;0;0;0;0;0
15/04/2021;Thursday;4;0;0;0;0;0;0;0;0;0;0;0
16/04/2021;Friday;4;0;0;0;0;0;0;0;0;0;0;0
17/04/2021;Saturday;4;0;0;0;0;0;0;0;0;0;0;0
18/04/2021;Sunday;4;0;0;0;0;0;0;0;0;0;0;0
19/04/2021;Monday;4;0;0;0;0;0;0;0;0;0;0;0
20/04/2021;Tuesday;4;0;0;0;1;0;0;0;0;0;0;0
21/04/2021;Wednesday;4;0;0;1;0;0;0;0;0;0;0;0
22/04/2021;Thursday;4;0;0;0;0;1;0;0;0;0;0;0
23/04/2021;Friday;4;0;0;0;0;0;0;0;0;0;0;0
24/04/2021;Saturday;4;0;0;0;0;0;0;0;0;0;0;0
25/04/2021;Sunday;4;0;0;0;0;0;0;0;0;0;0;0
26/04/2021;Monday;4;0;0;0;0;0;0;0;0;0;0;0
27/04/2021;Tuesday;4;0;0;0;0;0;0;0;0;0;0;0
28/04/2021;Wednesday;4;0;0;0;0;0;0;0;0;0;0;0
29/04/2021;Thursday;4;0;0;0;0;0;0;0;0;0;0;0
30/04/2021;Friday;4;0;1;0;1;0;0;0;0;0;0;0
01/05/2021;Saturday;5;1;0;1;0;0;0;0;0;0;0;0
02/05/2021;Sunday;5;0;0;0;0;1;0;0;0;0;0;0
03/05/2021;Monday;5;0;0;0;0;0;0;0;0;0;0;0
04/05/2021;Tuesday;5;0;0;0;0;0;0;0;0;0;0;0
05/05/2021;Wednesday;5;0;0;0;0;0;0;0;0;0;0;0
06/05/2021;Thursday;5;0;0;0;0;0;0;0;0;0;0;0
07/05/2021;Friday;5;0;0;0;0;0;0;0;0;0;0;0
08/05/2021;Saturday;5;0;0;0;0;0;0;0;0;0;0;0
09/05/2021;Sunday;5;0;0;0;0;0;0;1;0;0;0;0
10/05/2021;Monday;5;0;0;0;0;0;0;0;0;0;0;0
11/05/2021;Tuesday;5;0;0;0;0;0;0;0;0;0;0;0
12/05/2021;Wednesday;5;0;0;0;0;0;0;0;0;0;0;0
13/05/2021;Thursday;5;0;0;0;0;0;0;0;0;0;0;0
14/05/2021;Friday;5;0;0;0;0;0;0;0;0;0;0;0
15/05/2021;Saturday;5;0;0;0;0;0;0;0;0;0;0;0
16/05/2021;Sunday;5;0;0;0;0;0;0;0;0;0;0;0
17/05/2021;Monday;5;0;0;0;0;0;0;0;0;0;0;0
18/05/2021;Tuesday;5;0;0;0;0;0;0;0;0;0;0;0
19/05/2021;Wednesday;5;0;0;0;0;0;0;0;0;0;0;0
20/05/2021;Thursday;5;0;0;0;0;0;0;0;0;0;0;0
21/05/2021;Friday;5;0;0;0;0;0;0;0;0;0;0;0
22/05/2021;Saturday;5;0;0;0;0;0;0;0;0;0;0;0
23/05/2021;Sunday;5;0;0;0;0;0;0;0;0;0;0;0
24/05/2021;Monday;5;0;0;0;0;0;0;0;0;0;0;0
25/05/2021;Tuesday;5;0;0;0;0;0;0;0;0;0;0;0
26/05/2021;Wednesday;5;0;0;0;0;0;0;0;0;0;0;0
27/05/2021;Thursday;5;0;0;0;0;0;0;0;0;0;0;0
28/05/2021;Friday;5;0;0;0;0;0;0;0;0;0;0;0
29/05/2021;Saturday;5;0;0;0;0;0;0;0;0;0;0;0
30/05/2021;Sunday;5;0;0;0;0;0;0;0;0;0;0;0
31/05/2021;Monday;5;0;1;0;0;0;0;0;0;0;0;0
01/06/2021;Tuesday;6;1;0;0;0;0;0;0;0;0;0;0
02/06/2021;Wednesday;6;0;0;0;0;0;0;0;0;0;0;0
03/06/2021;Thursday;6;0;0;0;0;0;0;0;0;0;0;0
04/06/2021;Friday;6;0;0;0;0;0;0;0;0;0;0;0
05/06/2021;Saturday;6;0;0;0;0;0;0;0;0;0;0;0
06/06/2021;Sunday;6;0;0;0;0;0;0;0;0;0;0;0
07/06/2021;Monday;6;0;0;0;0;0;0;0;0;0;0;0
08/06/2021;Tuesday;6;0;0;0;0;0;0;0;0;0;0;0
09/06/2021;Wednesday;6;0;0;0;0;0;0;0;0;0;0;0
10/06/2021;Thursday;6;0;0;0;0;0;0;0;0;0;0;0
11/06/2021;Friday;6;0;0;0;0;0;0;0;0;0;0;0
12/06/2021;Saturday;6;0;0;0;0;0;0;0;0;0;0;0
13/06/2021;Sunday;6;0;0;0;0;0;0;0;0;0;0;0
14/06/2021;Monday;6;0;0;0;0;0;0;0;0;0;0;0
15/06/2021;Tuesday;6;0;0;0;0;0;0;0;0;0;0;0
16/06/2021;Wednesday;6;0;0;0;0;0;0;0;0;0;0;0
17/06/2021;Thursday;6;0;0;0;0;0;0;0;0;0;0;0
18/06/2021;Friday;6;0;0;0;0;0;0;0;0;0;0;0
19/06/2021;Saturday;6;0;0;0;0;0;0;0;0;0;0;0
20/06/2021;Sunday;6;0;0;0;0;0;0;0;0;0;0;0
21/06/2021;Monday;6;0;0;0;0;0;0;0;0;0;0;0
22/06/2021;Tuesday;6;0;0;0;0;0;0;0;0;0;0;0
23/06/2021;Wednesday;6;0;0;0;0;0;0;0;0;0;0;0
24/06/2021;Thursday;6;0;0;0;0;0;0;0;0;0;0;0
25/06/2021;Friday;6;0;0;0;0;0;0;0;0;0;0;0
26/06/2021;Saturday;6;0;0;0;0;0;0;0;0;0;0;0
27/06/2021;Sunday;6;0;0;0;0;0;0;0;0;0;0;0
28/06/2021;Monday;6;0;0;0;0;0;0;0;0;0;0;0
29/06/2021;Tuesday;6;0;0;0;0;0;0;0;0;0;0;0
30/06/2021;Wednesday;6;0;1;0;0;0;0;0;0;0;0;0
01/07/2021;Thursday;7;1;0;0;0;0;0;0;0;0;0;0
02/07/2021;Friday;7;0;0;0;0;0;0;0;0;0;0;0
03/07/2021;Saturday;7;0;0;0;0;0;0;0;0;0;0;0
04/07/2021;Sunday;7;0;0;0;0;0;0;0;0;0;0;0
05/07/2021;Monday;7;0;0;0;0;0;0;0;0;0;0;0
06/07/2021;Tuesday;7;0;0;0;0;0;0;0;0;0;0;0
07/07/2021;Wednesday;7;0;0;0;0;0;0;0;0;0;0;0
08/07/2021;Thursday;7;0;0;0;0;0;0;0;0;0;0;0
09/07/2021;Friday;7;0;0;0;0;0;0;0;0;0;0;0
10/07/2021;Saturday;7;0;0;0;0;0;0;0;0;0;0;0
11/07/2021;Sunday;7;0;0;0;0;0;0;0;0;0;0;0
12/07/2021;Monday;7;0;0;0;0;0;0;0;0;0;0;0
13/07/2021;Tuesday;7;0;0;0;0;0;0;0;0;0;0;0
14/07/2021;Wednesday;7;0;0;0;0;0;0;0;0;0;0;0
15/07/2021;Thursday;7;0;0;0;0;0;0;0;0;0;0;0
16/07/2021;Friday;7;0;0;0;0;0;0;0;0;0;0;0
17/07/2021;Saturday;7;0;0;0;0;0;0;0;0;0;0;0
18/07/2021;Sunday;7;0;0;0;0;0;0;0;0;0;0;0
19/07/2021;Monday;7;0;0;0;0;0;0;0;0;0;0;0
20/07/2021;Tuesday;7;0;0;0;0;0;0;0;0;0;0;0
21/07/2021;Wednesday;7;0;0;0;0;0;0;0;0;0;0;0
22/07/2021;Thursday;7;0;0;0;0;0;0;0;0;0;0;0
23/07/2021;Friday;7;0;0;0;0;0;0;0;0;0;0;0
24/07/2021;Saturday;7;0;0;0;0;0;0;0;0;0;0;0
25/07/2021;Sunday;7;0;0;0;0;0;0;0;0;0;0;0
26/07/2021;Monday;7;0;0;0;0;0;0;0;0;0;0;0
27/07/2021;Tuesday;7;0;0;0;0;0;0;0;0;0;0;0
28/07/2021;Wednesday;7;0;0;0;0;0;0;0;0;0;0;0
29/07/2021;Thursday;7;0;0;0;0;0;0;0;0;0;0;0
30/07/2021;Friday;7;0;0;0;0;0;0;0;0;0;0;0
31/07/2021;Saturday;7;0;1;0;0;0;0;0;0;0;0;0
01/08/2021;Sunday;8;1;0;0;0;0;0;0;0;0;0;0
02/08/2021;Monday;8;0;0;0;0;0;0;0;0;0;0;0
03/08/2021;Tuesday;8;0;0;0;0;0;0;0;0;0;0;0
04/08/2021;Wednesday;8;0;0;0;0;0;0;0;0;0;0;0
05/08/2021;Thursday;8;0;0;0;0;0;0;0;0;0;0;0
06/08/2021;Friday;8;0;0;0;0;0;0;0;0;0;0;0
07/08/2021;Saturday;8;0;0;0;0;0;0;0;0;0;0;0
08/08/2021;Sunday;8;0;0;0;0;0;0;0;0;0;0;0
09/08/2021;Monday;8;0;0;0;0;0;0;0;0;0;0;0
10/08/2021;Tuesday;8;0;0;0;0;0;0;0;0;0;0;0
11/08/2021;Wednesday;8;0;0;0;0;0;0;0;0;0;0;0
12/08/2021;Thursday;8;0;0;0;0;0;0;0;0;0;0;0
13/08/2021;Friday;8;0;0;0;0;0;0;0;0;0;0;0
14/08/2021;Saturday;8;0;0;0;0;0;0;0;0;0;0;0
15/08/2021;Sunday;8;0;0;0;0;0;0;0;0;0;0;0
16/08/2021;Monday;8;0;0;0;0;0;0;0;0;0;0;0
17/08/2021;Tuesday;8;0;0;0;0;0;0;0;0;0;0;0
18/08/2021;Wednesday;8;0;0;0;0;0;0;0;0;0;0;0
19/08/2021;Thursday;8;0;0;0;0;0;0;0;0;0;0;0
20/08/2021;Friday;8;0;0;0;0;0;0;0;0;0;0;0
21/08/2021;Saturday;8;0;0;0;0;0;0;0;0;0;0;0
22/08/2021;Sunday;8;0;0;0;0;0;0;0;0;0;0;0
23/08/2021;Monday;8;0;0;0;0;0;0;0;0;0;0;0
24/08/2021;Tuesday;8;0;0;0;0;0;0;0;0;0;0;0
25/08/2021;Wednesday;8;0;0;0;0;0;0;0;0;0;0;0
26/08/2021;Thursday;8;0;0;0;0;0;0;0;0;0;0;0
27/08/2021;Friday;8;0;0;0;0;0;0;0;0;0;0;0
28/08/2021;Saturday;8;0;0;0;0;0;0;0;0;0;0;0
29/08/2021;Sunday;8;0;0;0;0;0;0;0;0;0;0;0
30/08/2021;Monday;8;0;0;0;0;0;0;0;0;0;0;0
31/08/2021;Tuesday;8;0;1;0;0;0;0;0;0;0;0;0
01/09/2021;Wednesday;9;1;0;0;0;0;0;0;0;0;0;0
02/09/2021;Thursday;9;0;0;0;0;0;0;0;0;0;0;0
03/09/2021;Friday;9;0;0;0;0;0;0;0;0;0;0;0
04/09/2021;Saturday;9;0;0;0;0;0;0;0;0;0;0;0
05/09/2021;Sunday;9;0;0;0;0;0;0;0;0;0;0;0
06/09/2021;Monday;9;0;0;0;1;0;0;0;0;0;0;0
07/09/2021;Tuesday;9;0;0;1;0;0;0;0;0;0;0;0
08/09/2021;Wednesday;9;0;0;0;0;1;0;0;0;0;0;0
09/09/2021;Thursday;9;0;0;0;0;0;0;0;0;0;0;0
10/09/2021;Friday;9;0;0;0;0;0;0;0;0;0;0;0
11/09/2021;Saturday;9;0;0;0;0;0;0;0;0;0;0;0
12/09/2021;Sunday;9;0;0;0;0;0;0;0;0;0;0;0
13/09/2021;Monday;9;0;0;0;0;0;0;0;0;0;0;0
14/09/2021;Tuesday;9;0;0;0;0;0;0;0;0;0;0;0
15/09/2021;Wednesday;9;0;0;0;0;0;0;0;0;0;0;0
16/09/2021;Thursday;9;0;0;0;0;0;0;0;0;0;0;0
17/09/2021;Friday;9;0;0;0;0;0;0;0;0;0;0;0
18/09/2021;Saturday;9;0;0;0;0;0;0;0;0;0;0;0
19/09/2021;Sunday;9;0;0;0;0;0;0;0;0;0;0;0
20/09/2021;Monday;9;0;0;0;0;0;0;0;0;0;0;0
21/09/2021;Tuesday;9;0;0;0;0;0;0;0;0;0;0;0
22/09/2021;Wednesday;9;0;0;0;0;0;0;0;0;0;0;0
23/09/2021;Thursday;9;0;0;0;0;0;0;0;0;0;0;0
24/09/2021;Friday;9;0;0;0;0;0;0;0;0;0;0;0
25/09/2021;Saturday;9;0;0;0;0;0;0;0;0;0;0;0
26/09/2021;Sunday;9;0;0;0;0;0;0;0;0;0;0;0
27/09/2021;Monday;9;0;0;0;0;0;0;0;0;0;0;0
28/09/2021;Tuesday;9;0;0;0;0;0;0;0;0;0;0;0
29/09/2021;Wednesday;9;0;0;0;0;0;0;0;0;0;0;0
30/09/2021;Thursday;9;0;1;0;0;0;0;0;0;0;0;0
01/10/2021;Friday;10;1;0;0;0;0;0;0;0;0;0;0
02/10/2021;Saturday;10;0;0;0;0;0;0;0;0;0;0;0
03/10/2021;Sunday;10;0;0;0;0;0;0;0;0;0;0;0
04/10/2021;Monday;10;0;0;0;0;0;0;0;0;0;0;0
05/10/2021;Tuesday;10;0;0;0;0;0;0;0;0;0;0;0
06/10/2021;Wednesday;10;0;0;0;0;0;0;0;0;0;0;0
07/10/2021;Thursday;10;0;0;0;0;0;0;0;0;0;0;0
08/10/2021;Friday;10;0;0;0;0;0;0;0;0;0;0;0
09/10/2021;Saturday;10;0;0;0;0;0;0;0;0;0;0;0
10/10/2021;Sunday;10;0;0;0;0;0;0;0;0;0;0;0
11/10/2021;Monday;10;0;0;0;1;0;0;0;0;0;0;0
12/10/2021;Tuesday;10;0;0;1;0;0;0;0;0;0;0;0
13/10/2021;Wednesday;10;0;0;0;0;1;0;0;0;0;0;0
14/10/2021;Thursday;10;0;0;0;0;0;0;0;0;0;0;0
15/10/2021;Friday;10;0;0;0;0;0;0;0;0;0;0;0
16/10/2021;Saturday;10;0;0;0;0;0;0;0;0;0;0;0
17/10/2021;Sunday;10;0;0;0;0;0;0;0;0;0;0;0
18/10/2021;Monday;10;0;0;0;0;0;0;0;0;0;0;0
19/10/2021;Tuesday;10;0;0;0;0;0;0;0;0;0;0;0
20/10/2021;Wednesday;10;0;0;0;0;0;0;0;0;0;0;0
21/10/2021;Thursday;10;0;0;0;0;0;0;0;0;0;0;0
22/10/2021;Friday;10;0;0;0;0;0;0;0;0;0;0;0
23/10/2021;Saturday;10;0;0;0;0;0;0;0;0;0;0;0
24/10/2021;Sunday;10;0;0;0;0;0;0;0;0;0;0;0
25/10/2021;Monday;10;0;0;0;0;0;0;0;0;0;0;0
26/10/2021;Tuesday;10;0;0;0;0;0;0;0;0;0;0;0
27/10/2021;Wednesday;10;0;0;0;0;0;0;0;0;0;0;0
28/10/2021;Thursday;10;0;0;0;0;0;0;0;0;0;0;0
29/10/2021;Friday;10;0;0;0;0;0;0;0;0;0;0;0
30/10/2021;Saturday;10;0;0;0;0;0;0;0;0;0;0;0
31/10/2021;Sunday;10;0;1;0;0;0;0;0;0;0;0;0
01/11/2021;Monday;11;1;0;0;1;0;0;0;0;0;0;0
02/11/2021;Tuesday;11;0;0;1;0;0;0;0;0;0;0;0
03/11/2021;Wednesday;11;0;0;0;0;1;0;0;0;0;0;0
04/11/2021;Thursday;11;0;0;0;0;0;0;0;0;0;0;0
05/11/2021;Friday;11;0;0;0;0;0;0;0;0;0;0;0
06/11/2021;Saturday;11;0;0;0;0;0;0;0;0;0;0;0
07/11/2021;Sunday;11;0;0;0;0;0;0;0;0;0;0;0
08/11/2021;Monday;11;0;0;0;0;0;0;0;0;0;0;0
09/11/2021;Tuesday;11;0;0;0;0;0;0;0;0;0;0;0
10/11/2021;Wednesday;11;0;0;0;0;0;0;0;0;0;0;0
11/11/2021;Thursday;11;0;0;0;0;0;0;0;0;0;0;0
12/11/2021;Friday;11;0;0;0;0;0;0;0;0;0;0;0
13/11/2021;Saturday;11;0;0;0;0;0;0;0;0;0;0;0
14/11/2021;Sunday;11;0;0;0;1;0;0;0;0;0;0;0
15/11/2021;Monday;11;0;0;1;0;0;0;0;0;0;0;0
16/11/2021;Tuesday;11;0;0;0;0;1;0;0;0;0;0;0
17/11/2021;Wednesday;11;0;0;0;0;0;0;0;0;0;0;0
18/11/2021;Thursday;11;0;0;0;0;0;0;0;0;0;0;0
19/11/2021;Friday;11;0;0;0;0;0;0;0;0;1;0;0
20/11/2021;Saturday;11;0;0;0;0;0;0;0;0;0;0;0
21/11/2021;Sunday;11;0;0;0;0;0;0;0;0;0;0;0
22/11/2021;Monday;11;0;0;0;0;0;0;0;0;0;0;0
23/11/2021;Tuesday;11;0;0;0;0;0;0;0;0;0;0;0
24/11/2021;Wednesday;11;0;0;0;0;0;0;0;0;0;0;0
25/11/2021;Thursday;11;0;0;0;0;0;0;0;0;0;1;0
26/11/2021;Friday;11;0;0;0;0;0;0;0;1;0;0;0
27/11/2021;Saturday;11;0;0;0;0;0;0;0;0;0;0;1
28/11/2021;Sunday;11;0;0;0;0;0;0;0;0;0;0;0
29/11/2021;Monday;11;0;0;0;0;0;0;0;0;0;0;0
30/11/2021;Tuesday;11;0;1;0;0;0;0;0;0;0;0;0
01/12/2021;Wednesday;12;1;0;0;0;0;0;0;0;0;0;0
02/12/2021;Thursday;12;0;0;0;0;0;0;0;0;0;0;0
03/12/2021;Friday;12;0;0;0;0;0;0;0;0;0;0;0
04/12/2021;Saturday;12;0;0;0;0;0;0;0;0;0;0;0
05/12/2021;Sunday;12;0;0;0;0;0;0;0;0;0;0;0
06/12/2021;Monday;12;0;0;0;0;0;0;0;0;0;0;0
07/12/2021;Tuesday;12;0;0;0;0;0;0;0;0;0;0;0
08/12/2021;Wednesday;12;0;0;0;0;0;0;0;0;0;0;0
09/12/2021;Thursday;12;0;0;0;0;0;0;0;0;0;0;0
10/12/2021;Friday;12;0;0;0;0;0;0;0;0;0;0;0
11/12/2021;Saturday;12;0;0;0;0;0;0;0;0;0;0;0
12/12/2021;Sunday;12;0;0;0;0;0;0;0;0;0;0;0
13/12/2021;Monday;12;0;0;0;0;0;0;0;0;0;0;0
14/12/2021;Tuesday;12;0;0;0;0;0;0;0;0;0;0;0
15/12/2021;Wednesday;12;0;0;0;0;0;0;0;0;0;0;0
16/12/2021;Thursday;12;0;0;0;0;0;0;0;0;0;0;0
17/12/2021;Friday;12;0;0;0;0;0;0;0;0;0;0;0
18/12/2021;Saturday;12;0;0;0;0;0;0;0;0;0;0;0
19/12/2021;Sunday;12;0;0;0;0;0;0;0;0;0;0;0
20/12/2021;Monday;12;0;0;0;0;0;0;0;0;0;0;0
21/12/2021;Tuesday;12;0;0;0;0;0;0;0;0;0;0;0
22/12/2021;Wednesday;12;0;0;0;0;0;0;0;0;0;0;0
23/12/2021;Thursday;12;0;0;0;0;0;0;0;0;0;0;0
24/12/2021;Friday;12;0;0;0;1;0;0;0;0;0;0;0
25/12/2021;Saturday;12;0;0;1;0;0;1;0;0;0;0;0
26/12/2021;Sunday;12;0;0;0;0;1;0;0;0;0;0;0
27/12/2021;Monday;12;0;0;0;0;0;0;0;0;0;0;0
28/12/2021;Tuesday;12;0;0;0;0;0;0;0;0;0;0;0
29/12/2021;Wednesday;12;0;0;0;0;0;0;0;0;0;0;0
30/12/2021;Thursday;12;0;0;0;0;0;0;0;0;0;0;0
31/12/2021;Friday;12;0;1;0;1;0;0;0;0;0;0;0
01/01/2022;Saturday;1;1;0;1;0;0;0;0;0;0;0;0
02/01/2022;Sunday;1;0;0;0;0;1;0;0;0;0;0;0
03/01/2022;Monday;1;0;0;0;0;0;0;0;0;0;0;0
04/01/2022;Tuesday;1;0;0;0;0;0;0;0;0;0;0;0
05/01/2022;Wednesday;1;0;0;0;0;0;0;0;0;0;0;0
06/01/2022;Thursday;1;0;0;0;0;0;0;0;0;0;0;0
07/01/2022;Friday;1;0;0;0;0;0;0;0;0;0;0;0
08/01/2022;Saturday;1;0;0;0;0;0;0;0;0;0;0;0
09/01/2022;Sunday;1;0;0;0;0;0;0;0;0;0;0;0
10/01/2022;Monday;1;0;0;0;0;0;0;0;0;0;0;0
11/01/2022;Tuesday;1;0;0;0;0;0;0;0;0;0;0;0
12/01/2022;Wednesday;1;0;0;0;0;0;0;0;0;0;0;0
13/01/2022;Thursday;1;0;0;0;0;0;0;0;0;0;0;0
14/01/2022;Friday;1;0;0;0;0;0;0;0;0;0;0;0
15/01/2022;Saturday;1;0;0;0;0;0;0;0;0;0;0;0
16/01/2022;Sunday;1;0;0;0;0;0;0;0;0;0;0;0
17/01/2022;Monday;1;0;0;0;0;0;0;0;0;0;0;0
18/01/2022;Tuesday;1;0;0;0;0;0;0;0;0;0;0;0
