Documento,Sub_Modalidade,TemEadSN,Transportador,CidadeEntrega,PrazoCd,LevePesadoLiquido,PrazoTransporte,SinalizacaoDePendencia,Canal_de_Entrega,Carga_Promessa,SLA_Cliente,PromessaIntegracao,ExpedicaoIntegracao,PrometidaExpedicao,DiaPromessa,Tempo_Insucesso,Insucessos,Tempo_Transferencia,Transferencias,Dias_Atraso,Tempo_RotaDeEntrega,TentativasDeEntrega
2774952890,Direta Viagem,N,JEV TRANSPORTES LTDA,CRICIUMA       ,2,PESADO,1,N,CD ONLINE,0,No Prazo,2,1,1,4,null,null,null,null,null,0,1
2775487850,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,5,null,null,null,null,null,0,1
2775615350,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,MAFRA          ,7,PESADO,1,N,CD ONLINE,0,No Prazo,8,7,1,5,null,null,null,null,null,0,1
2775843930,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BALN.CAMBORIU  ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,2,null,null,null,null,null,0,1
2776095670,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,8,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,8,8,0,7,null,null,6,1,null,0,1
2776164530,Direta Viagem,N,JEV TRANSPORTES LTDA,CAPIVARI BAIXO ,3,LEVE,1,N,CD ONLINE,0,No Prazo,4,3,1,3,null,null,null,null,null,0,1
2777228550,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,INDAIAL        ,8,PESADO,0,S,CD ONLINE,0,No Prazo,52,24,28,5,null,null,4,1,null,0,1
2777644320,Direta Viagem,S,JEV TRANSPORTES LTDA,ARARANGUA      ,5,PESADO,1,N,CD ONLINE,0,No Prazo,6,5,1,3,null,null,2,1,null,0,1
2777879860,Direta D0,N,IQVELO LOG,SAO JOSE       ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,5,null,null,null,null,null,0,1
2778334150,Direta Viagem,N,JEV TRANSPORTES LTDA,CRICIUMA       ,5,LEVE,1,N,CD ONLINE,0,No Prazo,6,5,1,4,null,null,null,null,null,0,1
2778451760,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,7,0,1,null,null,null,0,1
2778514680,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,7,null,null,null,null,null,0,1
2778662240,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,PALMITOS       ,3,PESADO,14,N,CD ONLINE,1,Fora do Prazo,4,3,1,3,null,null,null,null,null,0,1
2778686180,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,S,CD ONLINE,0,No Prazo,48,7,41,5,null,null,0,1,null,0,1
2779587910,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,3,PESADO,0,N,CD ONLINE,0,Fora do Prazo,3,3,0,5,0,1,1,1,null,0,1
2780689260,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,S.BENTO DO SUL ,8,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,8,8,0,6,null,null,null,null,null,0,1
2780876360,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,2,2,2,null,null,1,1,null,0,1
2780894490,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAPEMA        ,4,LEVE,0,N,CD ONLINE,1,Fora do Prazo,5,12,-7,3,null,null,8,1,null,0,1
2780906770,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,2,PESADO,0,N,CD ONLINE,0,No Prazo,3,1,2,2,null,null,null,null,null,0,1
2781013540,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,3,null,null,1,1,null,0,1
2781016870,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BALN.CAMBORIU  ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,5,0,4,null,null,null,null,null,0,1
2781300700,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAPEMA        ,10,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,10,10,0,3,null,null,null,null,null,0,1
2781456740,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,2,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2781496490,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,2,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2782074590,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2782121840,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,4,0,6,null,null,1,1,null,0,1
2782468530,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,LAGES          ,7,PESADO,1,N,CD ONLINE,0,No Prazo,9,8,1,5,null,null,null,null,null,0,1
2782600960,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD ONLINE,0,Fora do Prazo,5,5,0,2,0,1,2,1,null,0,1
2783611001,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,4,1,5,null,null,null,null,null,0,1
2783676250,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2784194920,Direta D0,S,IQVELO LOG,FLORIANOPOLIS  ,4,PESADO,0,N,CD ONLINE,0,Fora do Prazo,4,7,-3,7,0,1,1,1,null,0,1
2784270160,Direta D0,N,IQVELO LOG,FLORIANOPOLIS  ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,4,null,null,null,null,null,0,1
2784547090,Direta D0,N,IQVELO LOG,PALHOCA        ,1,LEVE,0,N,CD ONLINE,0,No Prazo,1,1,0,5,null,null,null,null,null,0,1
2784684421,Direta D0,N,IQVELO LOG,SAO JOSE       ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,5,null,null,null,null,null,0,1
2785080960,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAPEMA        ,4,LEVE,0,S,CD ONLINE,0,No Prazo,26,26,0,3,null,null,7,1,null,0,1
2785194080,Direta D0,N,LSA,FLORIANOPOLIS  ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,1,2,2,null,null,null,null,null,0,1
2785253620,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,5,0,4,null,null,3,1,null,0,1
2785876240,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,S.JOAO DO OESTE,15,PESADO,14,N,CD ONLINE,0,No Prazo,17,1,16,5,null,null,null,null,null,0,1
2786145460,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,4,LEVE,0,N,CD ONLINE,0,No Prazo,4,4,0,6,null,null,2,1,null,0,1
2786245500,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JARAGUA DO SUL ,4,LEVE,0,N,CD ONLINE,0,No Prazo,4,4,0,7,null,null,2,1,null,0,1
2786438820,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,4,PESADO,0,S,CD ONLINE,0,No Prazo,32,23,9,7,null,null,3,1,null,0,1
2787119770,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,4,0,2,null,null,1,1,null,0,1
2787233700,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,4,0,2,null,null,1,1,null,0,1
2787239290,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JARAGUA DO SUL ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,5,0,3,null,null,null,null,null,0,1
2787473770,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,GUARACIABA     ,15,PESADO,14,N,CD ONLINE,0,No Prazo,18,1,17,3,null,null,null,null,null,0,1
2787707200,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,LEVE,0,N,CD ONLINE,0,No Prazo,4,4,0,4,null,null,2,1,null,0,1
2787783210,Direta D0,N,LSA,FLORIANOPOLIS  ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2787802870,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2788159300,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAPEMA        ,3,LEVE,0,N,CD ONLINE,0,No Prazo,4,4,0,5,null,null,1,1,null,0,1
2788245290,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,4,LEVE,0,N,CD ONLINE,0,No Prazo,5,4,1,6,null,null,1,1,null,0,1
2788893480,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,5,null,null,null,null,null,0,1
2788997521,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,CHAPECO        ,1,PESADO,1,N,CD LOJAS FISICAS,0,No Prazo,2,1,1,5,null,null,null,null,null,0,1
2789205981,Direta D0,N,LSA,SAO JOSE       ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,5,null,null,null,null,null,0,1
2789448660,Direta D0,N,LSA,FLORIANOPOLIS  ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,6,null,null,null,null,null,0,1
2789586090,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,7,null,null,null,null,null,0,1
2789615180,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BALN. PICARRAS ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,2,2,2,null,null,null,null,null,0,1
2790100900,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,1,2,2,null,null,null,null,null,0,1
2790684090,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,3,1,5,null,null,null,null,null,0,1
2790902040,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2790937230,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2792145230,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD ONLINE,0,Fora do Prazo,2,2,0,7,0,1,null,null,null,0,1
2793083780,Direta D0,S,LSA,PALHOCA        ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,6,null,null,2,1,null,0,1
2793214060,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ITAJAI         ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2793232970,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,5,null,null,1,1,null,0,1
2793471130,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ARAQUARI       ,7,LEVE,0,N,CD ONLINE,0,No Prazo,8,3,5,4,null,null,1,1,null,0,1
2794238280,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,INDAIAL        ,6,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,6,6,0,5,null,null,4,1,null,0,1
2794415880,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,CHAPECO        ,8,PESADO,2,N,CD ONLINE,0,No Prazo,10,7,3,2,null,null,null,null,null,0,1
2794433180,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,S.BENTO DO SUL ,6,PESADO,0,N,CD ONLINE,0,No Prazo,7,7,0,6,null,null,null,null,null,0,1
2794530240,Direta D0,N,LSA,SAO JOSE       ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,4,null,null,null,null,null,0,1
2794545400,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,2,null,null,null,null,null,0,1
2794931280,Direta D0,S,LSA,SAO JOSE       ,4,PESADO,0,N,CD ONLINE,0,No Prazo,5,5,0,6,null,null,3,1,null,0,1
2794957310,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ARAQUARI       ,4,PESADO,0,N,CD ONLINE,0,No Prazo,5,5,0,6,null,null,null,null,null,0,1
2794994510,Direta D0,N,LSA,FLORIANOPOLIS  ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2795195550,Direta D0,N,LSA,SAO JOSE       ,1,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,1,1,0,3,null,null,null,null,null,0,1
2795698770,Direta Viagem,S,JEV TRANSPORTES LTDA,CRICIUMA       ,5,PESADO,1,N,CD LOJAS FISICAS,0,No Prazo,6,5,1,3,null,null,2,1,null,0,1
2796057840,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,7,null,null,null,null,null,0,1
2796271650,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ARAQUARI       ,7,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,7,7,0,6,null,null,null,null,null,0,1
2796331660,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BARRA VELHA    ,4,LEVE,0,N,CD ONLINE,0,No Prazo,5,5,0,4,null,null,3,1,null,0,1
2796357020,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,GASPAR         ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,7,null,null,null,null,null,0,1
2796442610,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,2,null,null,null,null,null,0,1
2796884420,Direta D0,S,LSA,SAO JOSE       ,4,PESADO,0,N,CD ONLINE,0,No Prazo,5,5,0,5,null,null,2,1,null,0,1
2797032200,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,ITAPEMA        ,5,PESADO,0,N,CD ONLINE,0,No Prazo,6,6,0,7,null,null,3,1,null,0,1
2797113070,Direta Viagem,S,JEV TRANSPORTES LTDA,CRICIUMA       ,3,PESADO,1,N,CD LOJAS FISICAS,0,No Prazo,4,3,1,6,null,null,0,1,null,0,1
2797717930,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,5,null,null,null,null,null,0,1
2797937520,Direta Viagem,N,JEV TRANSPORTES LTDA,JAGUARUNA      ,7,PESADO,1,N,CD LOJAS FISICAS,0,No Prazo,8,7,1,5,null,null,null,null,null,0,1
2797987830,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,6,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,6,6,0,3,null,null,2,1,null,0,1
2798073890,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,6,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,6,6,0,3,null,null,2,1,null,0,1
2798796871,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BALN.CAMBORIU  ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,1,2,2,null,null,null,null,null,0,1
2799085340,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,CAMBORIU       ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,10,10,0,3,null,null,null,null,null,0,1
2799226911,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,6,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,6,6,0,6,null,null,3,1,null,0,1
2799240120,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BALN.CAMBORIU  ,6,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,6,null,null,6,null,null,3,1,null,null,null
2799488130,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,4,2,2,5,null,null,null,null,null,0,1
2799929660,Direta D0,N,LSA,FLORIANOPOLIS  ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2799976310,Direta D0,N,LSA,PALHOCA        ,1,PESADO,0,N,CD ONLINE,0,No Prazo,1,1,0,4,null,null,null,null,null,0,1
2799983020,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,ARAQUARI       ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,6,null,null,null,null,null,0,1
2800435170,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,2,1,7,null,null,null,null,null,0,1
2800448160,Direta Viagem,N,JEV TRANSPORTES LTDA,CRICIUMA       ,5,PESADO,1,N,CD ONLINE,0,No Prazo,6,5,1,3,null,null,null,null,null,0,1
2800501280,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,16,PESADO,0,S,CD LOJAS FISICAS,0,No Prazo,16,14,2,6,null,null,null,null,null,0,1
2800645820,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,JARAGUA DO SUL ,5,PESADO,0,N,CD LOJAS FISICAS,0,Fora do Prazo,2,5,-3,7,null,null,null,null,null,0,1
2800819920,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,2,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,2,2,0,7,null,null,null,null,null,0,1
2800969240,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,JOINVILLE      ,5,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,5,5,0,4,null,null,3,1,null,0,1
2801090690,Direta Viagem,N,VPLOG SERVICOS E TRANSPORTES,PINHALZINHO    ,7,PESADO,2,N,CD LOJAS FISICAS,0,No Prazo,10,7,3,2,null,null,null,null,null,0,1
2801490860,Direta D0,N,LSA,FLORIANOPOLIS  ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,3,null,null,null,null,null,0,1
2801768490,Direta D0,N,LSA,FLORIANOPOLIS  ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,5,null,null,null,null,null,0,1
2801827520,Direta D0,N,LSA,FLORIANOPOLIS  ,2,PESADO,0,N,CD ONLINE,0,No Prazo,2,2,0,4,null,null,null,null,null,0,1
2801916880,Direta D0,N,VPLOG SERVICOS E TRANSPORTES,NAVEGANTES     ,4,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,4,4,0,6,null,null,null,null,null,0,1
2801973830,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,N,CD LOJAS FISICAS,0,No Prazo,3,3,0,5,null,null,1,1,null,0,1
2802218060,Direta D0,S,LSA,SAO JOSE       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,6,null,null,0,1,null,0,1
2803915960,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BLUMENAU       ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,5,null,null,0,1,null,0,1
2803934680,Direta D0,S,VPLOG SERVICOS E TRANSPORTES,BRUSQUE        ,3,LEVE,0,N,CD ONLINE,0,No Prazo,3,3,0,5,null,null,0,1,null,0,1
2803936010,Direta D0,S,LSA,PALHOCA        ,3,PESADO,0,N,CD ONLINE,0,No Prazo,3,3,0,5,null,null,0,1,null,0,1
