Data;Filial;producao
15/01/2021;VIX;9917
16/01/2021;BHZ;7800
16/01/2021;BSB;1947
16/01/2021;CGB;152
16/01/2021;CGR;1780
16/01/2021;FOR;23
16/01/2021;RIO;18157
16/01/2021;MAO;840
16/01/2021;POA;7581
16/01/2021;REC;8065
16/01/2021;SSA;5031
16/01/2021;TECA;85389
16/01/2021;VIX;1840
17/01/2021;BHZ;1640
17/01/2021;CGB;2249
17/01/2021;RIO;6139
17/01/2021;POA;3821
17/01/2021;REC;2323
17/01/2021;TECA;28852
17/01/2021;VIX;6849
18/01/2021;BHZ;12566
18/01/2021;BSB;4078
18/01/2021;CGB;6823
18/01/2021;CGR;2768
18/01/2021;FOR;3750
18/01/2021;RIO;9711
18/01/2021;MAO;1223
18/01/2021;POA;10067
18/01/2021;REC;7309
18/01/2021;SSA;8041
18/01/2021;TECA;43554
18/01/2021;VIX;4068
19/01/2021;BHZ;13538
19/01/2021;BSB;3177
19/01/2021;CGB;4398
19/01/2021;CGR;3672
19/01/2021;FOR;3536
19/01/2021;RIO;19106
19/01/2021;MAO;585
19/01/2021;POA;9500
19/01/2021;REC;4391
19/01/2021;SSA;7893
19/01/2021;TECA;94440
19/01/2021;VIX;7237
20/01/2021;BHZ;15491
20/01/2021;BSB;3001
20/01/2021;CGB;3332
20/01/2021;CGR;539
20/01/2021;FOR;2285
20/01/2021;RIO;19276
20/01/2021;MAO;392
20/01/2021;POA;10060
20/01/2021;REC;8592
20/01/2021;SSA;3248
20/01/2021;TECA;96678
20/01/2021;VIX;9853
21/01/2021;BHZ;13976
21/01/2021;BSB;3077
21/01/2021;CGB;282
21/01/2021;CGR;1991
21/01/2021;FOR;2002
21/01/2021;RIO;17449
21/01/2021;MAO;350
21/01/2021;POA;11204
21/01/2021;REC;2754
21/01/2021;SSA;6157
21/01/2021;TECA;101872
21/01/2021;VIX;9237
22/01/2021;BHZ;14002
22/01/2021;BSB;3771
22/01/2021;CGB;6160
22/01/2021;CGR;2048
22/01/2021;FOR;1423
22/01/2021;RIO;19823
22/01/2021;MAO;933
22/01/2021;POA;11374
22/01/2021;REC;9009
22/01/2021;SSA;5731
22/01/2021;TECA;103319
22/01/2021;VIX;8619
23/01/2021;BHZ;6956
23/01/2021;BSB;2490
23/01/2021;CGB;2766
23/01/2021;CGR;761
23/01/2021;RIO;17703
23/01/2021;MAO;2040
23/01/2021;POA;7663
23/01/2021;REC;4402
23/01/2021;SSA;3335
23/01/2021;TECA;87881
23/01/2021;VIX;4456
24/01/2021;BHZ;2679
24/01/2021;CGB;108
24/01/2021;CGR;638
24/01/2021;RIO;4766
24/01/2021;POA;4500
24/01/2021;SSA;579
24/01/2021;TECA;16016
24/01/2021;VIX;3389
25/01/2021;BHZ;9182
25/01/2021;BSB;2037
25/01/2021;CGB;8324
25/01/2021;CGR;4699
25/01/2021;FOR;3627
25/01/2021;RIO;10233
25/01/2021;MAO;1428
25/01/2021;POA;4927
25/01/2021;REC;5735
25/01/2021;SSA;7707
25/01/2021;TECA;27870
25/01/2021;VIX;4132
26/01/2021;BHZ;11636
26/01/2021;BSB;3573
26/01/2021;CGB;3821
26/01/2021;CGR;1408
26/01/2021;FOR;3005
26/01/2021;RIO;16209
26/01/2021;MAO;1272
26/01/2021;POA;10484
26/01/2021;REC;7349
26/01/2021;SSA;5699
26/01/2021;TECA;86227
26/01/2021;VIX;6795
27/01/2021;BHZ;14532
27/01/2021;BSB;2796
27/01/2021;CGB;771
27/01/2021;CGR;835
27/01/2021;FOR;825
27/01/2021;RIO;23028
27/01/2021;MAO;591
27/01/2021;POA;9949
27/01/2021;REC;10532
27/01/2021;SSA;4322
27/01/2021;TECA;102092
27/01/2021;VIX;8713
28/01/2021;BHZ;14534
28/01/2021;BSB;2961
28/01/2021;CGB;2464
28/01/2021;CGR;1331
28/01/2021;FOR;627
28/01/2021;RIO;21101
28/01/2021;MAO;353
28/01/2021;POA;10863
28/01/2021;REC;7914
28/01/2021;SSA;4698
28/01/2021;TECA;101921
28/01/2021;VIX;8441
29/01/2021;BHZ;10453
29/01/2021;BSB;4132
29/01/2021;CGB;177
29/01/2021;CGR;3411
29/01/2021;FOR;421
29/01/2021;RIO;16235
29/01/2021;MAO;2683
29/01/2021;POA;11197
29/01/2021;REC;4645
29/01/2021;SSA;5434
29/01/2021;TECA;100572
29/01/2021;VIX;7572
30/01/2021;BHZ;6659
30/01/2021;BSB;3797
30/01/2021;CGB;3575
30/01/2021;CGR;1
30/01/2021;FOR;1513
30/01/2021;RIO;14909
30/01/2021;MAO;422
30/01/2021;POA;5692
30/01/2021;REC;2244
30/01/2021;SSA;4459
30/01/2021;TECA;81357
30/01/2021;VIX;5135
31/01/2021;RIO;1
01/02/2021;BHZ;13420
01/02/2021;BSB;1598
01/02/2021;CGB;5649
01/02/2021;CGR;2649
01/02/2021;FOR;2832
01/02/2021;RIO;6597
01/02/2021;MAO;423
01/02/2021;POA;6336
01/02/2021;REC;8928
01/02/2021;SSA;8504
01/02/2021;TECA;41398
01/02/2021;VIX;4049
02/02/2021;BHZ;10314
02/02/2021;BSB;2244
02/02/2021;CGB;4171
02/02/2021;CGR;3289
02/02/2021;FOR;3217
02/02/2021;RIO;17024
02/02/2021;MAO;420
02/02/2021;POA;9128
02/02/2021;REC;9002
02/02/2021;SSA;4503
02/02/2021;TECA;87283
02/02/2021;VIX;7586
03/02/2021;BHZ;12938
03/02/2021;BSB;2847
03/02/2021;CGB;1990
03/02/2021;CGR;284
03/02/2021;FOR;1778
03/02/2021;RIO;18555
03/02/2021;MAO;770
03/02/2021;POA;8583
03/02/2021;REC;6988
03/02/2021;SSA;4396
03/02/2021;TECA;109581
03/02/2021;VIX;8884
04/02/2021;BHZ;12469
04/02/2021;BSB;3504
04/02/2021;CGB;128
04/02/2021;CGR;2743
04/02/2021;FOR;743
04/02/2021;RIO;19380
04/02/2021;MAO;814
04/02/2021;POA;11327
04/02/2021;REC;4696
04/02/2021;SSA;3241
04/02/2021;TECA;110140
04/02/2021;VIX;7635
05/02/2021;BHZ;11388
05/02/2021;BSB;3574
05/02/2021;CGB;4925
05/02/2021;CGR;2728
05/02/2021;FOR;513
05/02/2021;RIO;13426
05/02/2021;MAO;286
05/02/2021;POA;10921
05/02/2021;REC;5234
05/02/2021;SSA;4198
05/02/2021;TECA;96990
05/02/2021;VIX;5854
06/02/2021;BHZ;3329
06/02/2021;BSB;3120
06/02/2021;CGB;2995
06/02/2021;CGR;1707
06/02/2021;RIO;15396
06/02/2021;MAO;1419
06/02/2021;POA;5312
06/02/2021;REC;5160
06/02/2021;SSA;5568
06/02/2021;TECA;81821
06/02/2021;VIX;3367
07/02/2021;BHZ;4049
07/02/2021;FOR;40
07/02/2021;RIO;3593
07/02/2021;POA;3900
07/02/2021;SSA;1371
07/02/2021;TECA;14667
07/02/2021;VIX;3670
08/02/2021;BHZ;8544
08/02/2021;BSB;2325
08/02/2021;CGB;6653
08/02/2021;CGR;2025
08/02/2021;FOR;5453
08/02/2021;RIO;7450
08/02/2021;MAO;1150
08/02/2021;POA;7330
08/02/2021;REC;6335
08/02/2021;SSA;5874
08/02/2021;TECA;40454
08/02/2021;VIX;4692
09/02/2021;BHZ;12146
09/02/2021;BSB;2286
09/02/2021;CGB;1834
09/02/2021;CGR;2444
09/02/2021;FOR;592
09/02/2021;RIO;15477
09/02/2021;MAO;411
09/02/2021;POA;8498
09/02/2021;REC;6548
09/02/2021;SSA;6041
09/02/2021;TECA;96581
09/02/2021;VIX;6890
10/02/2021;BHZ;13208
10/02/2021;BSB;2168
10/02/2021;CGB;3407
10/02/2021;CGR;652
10/02/2021;FOR;2774
10/02/2021;RIO;19553
10/02/2021;MAO;371
10/02/2021;POA;10403
10/02/2021;REC;5230
10/02/2021;SSA;3763
10/02/2021;TECA;113115
10/02/2021;VIX;8658
11/02/2021;BHZ;13277
11/02/2021;BSB;4148
11/02/2021;CGB;2241
11/02/2021;CGR;2647
11/02/2021;FOR;1314
11/02/2021;RIO;16998
11/02/2021;MAO;713
11/02/2021;POA;10449
11/02/2021;REC;6325
11/02/2021;SSA;5121
11/02/2021;TECA;108111
11/02/2021;VIX;7025
12/02/2021;BHZ;11492
12/02/2021;BSB;3868
12/02/2021;CGB;1044
12/02/2021;CGR;2559
12/02/2021;FOR;1472
12/02/2021;RIO;18390
12/02/2021;MAO;1785
12/02/2021;POA;11030
12/02/2021;REC;4778
12/02/2021;SSA;3815
12/02/2021;TECA;107030
12/02/2021;VIX;8021
13/02/2021;BHZ;6110
13/02/2021;BSB;3338
13/02/2021;CGB;2477
13/02/2021;CGR;387
13/02/2021;FOR;1373
13/02/2021;RIO;15398
13/02/2021;MAO;1160
13/02/2021;POA;4975
13/02/2021;REC;6927
13/02/2021;SSA;5327
13/02/2021;TECA;80379
13/02/2021;VIX;3355
14/02/2021;BHZ;2051
14/02/2021;CGB;481
14/02/2021;CGR;1139
14/02/2021;RIO;3715
14/02/2021;POA;4300
14/02/2021;SSA;1556
14/02/2021;TECA;7845
14/02/2021;VIX;2335
15/02/2021;BHZ;8424
15/02/2021;BSB;2272
15/02/2021;CGB;8310
15/02/2021;CGR;910
15/02/2021;FOR;3067
15/02/2021;RIO;4031
15/02/2021;MAO;2829
15/02/2021;POA;6434
15/02/2021;REC;8124
15/02/2021;SSA;7487
15/02/2021;TECA;55779
15/02/2021;VIX;3008
16/02/2021;BHZ;9771
16/02/2021;BSB;1265
16/02/2021;CGB;1524
16/02/2021;CGR;621
16/02/2021;FOR;512
16/02/2021;RIO;10859
16/02/2021;MAO;727
16/02/2021;POA;5837
16/02/2021;REC;6681
16/02/2021;SSA;4313
16/02/2021;TECA;86871
16/02/2021;VIX;5132
17/02/2021;BHZ;7247
17/02/2021;BSB;2895
17/02/2021;CGB;1809
17/02/2021;CGR;1364
17/02/2021;FOR;1445
17/02/2021;RIO;9281
17/02/2021;MAO;444
17/02/2021;POA;8295
17/02/2021;REC;6286
17/02/2021;SSA;2107
17/02/2021;TECA;66513
17/02/2021;VIX;4938
18/02/2021;BHZ;10050
18/02/2021;BSB;2270
18/02/2021;CGB;1495
18/02/2021;CGR;1533
18/02/2021;FOR;1007
18/02/2021;RIO;14494
18/02/2021;MAO;399
18/02/2021;POA;10067
18/02/2021;REC;1734
18/02/2021;SSA;2872
18/02/2021;TECA;73643
18/02/2021;VIX;5474
19/02/2021;BHZ;10952
19/02/2021;BSB;3325
19/02/2021;CGB;2060
19/02/2021;CGR;1991
19/02/2021;FOR;412
19/02/2021;RIO;16281
19/02/2021;MAO;2978
19/02/2021;POA;7716
19/02/2021;REC;1842
19/02/2021;SSA;3462
19/02/2021;TECA;86715
19/02/2021;VIX;5686
20/02/2021;BHZ;4902
20/02/2021;BSB;2597
20/02/2021;CGB;1274
20/02/2021;CGR;98
20/02/2021;FOR;1541
20/02/2021;RIO;15243
20/02/2021;MAO;449
20/02/2021;POA;5528
20/02/2021;REC;5751
20/02/2021;SSA;2469
20/02/2021;TECA;75047
20/02/2021;VIX;1851
21/02/2021;BHZ;2749
21/02/2021;CGR;401
21/02/2021;RIO;4088
21/02/2021;POA;4245
21/02/2021;SSA;1
21/02/2021;TECA;11543
21/02/2021;VIX;2778
22/02/2021;BHZ;9696
22/02/2021;BSB;2663
22/02/2021;CGB;2624
22/02/2021;CGR;1214
22/02/2021;FOR;2007
22/02/2021;RIO;7023
22/02/2021;MAO;639
22/02/2021;POA;6762
22/02/2021;REC;6023
22/02/2021;SSA;1749
22/02/2021;TECA;49278
22/02/2021;VIX;4323
23/02/2021;BHZ;8174
23/02/2021;BSB;1907
23/02/2021;CGB;1938
23/02/2021;CGR;652
23/02/2021;FOR;432
23/02/2021;RIO;17302
23/02/2021;MAO;501
23/02/2021;POA;9262
23/02/2021;REC;2160
23/02/2021;SSA;5979
23/02/2021;TECA;110574
23/02/2021;VIX;5004
24/02/2021;BHZ;14905
24/02/2021;BSB;4156
24/02/2021;CGB;254
24/02/2021;CGR;296
24/02/2021;FOR;678
24/02/2021;RIO;17806
24/02/2021;MAO;219
24/02/2021;POA;11597
24/02/2021;REC;4807
24/02/2021;SSA;3272
24/02/2021;TECA;113219
24/02/2021;VIX;7457
25/02/2021;BHZ;12476
25/02/2021;BSB;3758
25/02/2021;CGB;1870
25/02/2021;CGR;2454
25/02/2021;FOR;2377
25/02/2021;RIO;18480
25/02/2021;MAO;1204
25/02/2021;POA;10175
25/02/2021;REC;5626
25/02/2021;SSA;4857
25/02/2021;TECA;110576
25/02/2021;VIX;8059
26/02/2021;BHZ;10315
26/02/2021;BSB;3783
26/02/2021;CGB;3448
26/02/2021;CGR;1244
26/02/2021;FOR;1294
26/02/2021;RIO;15336
26/02/2021;MAO;1718
26/02/2021;POA;8882
26/02/2021;REC;6664
26/02/2021;SSA;6889
26/02/2021;TECA;107498
26/02/2021;VIX;6546
27/02/2021;BHZ;5758
27/02/2021;BSB;1715
27/02/2021;CGB;1834
27/02/2021;CGR;1432
27/02/2021;FOR;567
27/02/2021;RIO;16183
27/02/2021;MAO;2455
27/02/2021;POA;5621
27/02/2021;REC;6610
27/02/2021;SSA;3880
27/02/2021;TECA;91078
27/02/2021;VIX;1456
01/03/2021;BHZ;7040
01/03/2021;BSB;6886
01/03/2021;CGB;7517
01/03/2021;CGR;3320
01/03/2021;FOR;3546
01/03/2021;RIO;5734
01/03/2021;MAO;1335
01/03/2021;POA;6889
01/03/2021;REC;8361
01/03/2021;SSA;6721
01/03/2021;TECA;52326
01/03/2021;VIX;4606
02/03/2021;BHZ;11387
02/03/2021;BSB;2167
02/03/2021;CGB;2331
02/03/2021;CGR;984
02/03/2021;FOR;846
02/03/2021;RIO;16892
02/03/2021;MAO;2008
02/03/2021;POA;6918
02/03/2021;REC;8175
02/03/2021;SSA;3791
02/03/2021;TECA;103740
02/03/2021;VIX;6155
03/03/2021;BHZ;11100
03/03/2021;BSB;3896
03/03/2021;CGB;1311
03/03/2021;CGR;198
03/03/2021;FOR;2561
03/03/2021;RIO;14499
03/03/2021;MAO;2968
03/03/2021;POA;11355
03/03/2021;REC;9861
03/03/2021;SSA;3498
03/03/2021;TECA;120435
03/03/2021;VIX;8541
04/03/2021;BHZ;11522
04/03/2021;BSB;2275
04/03/2021;CGB;575
04/03/2021;CGR;1631
04/03/2021;FOR;698
04/03/2021;RIO;21623
04/03/2021;MAO;1326
04/03/2021;POA;9127
04/03/2021;REC;4857
04/03/2021;SSA;6068
04/03/2021;TECA;120397
04/03/2021;VIX;6916
05/03/2021;BHZ;11632
05/03/2021;BSB;5219
05/03/2021;CGB;2181
05/03/2021;CGR;1348
05/03/2021;FOR;1888
05/03/2021;RIO;16714
05/03/2021;MAO;607
05/03/2021;POA;11927
05/03/2021;REC;5737
05/03/2021;SSA;5865
05/03/2021;TECA;111914
05/03/2021;VIX;7030
06/03/2021;BHZ;5668
06/03/2021;BSB;2008
06/03/2021;CGB;3649
06/03/2021;CGR;1547
06/03/2021;FOR;170
06/03/2021;RIO;13857
06/03/2021;MAO;709
06/03/2021;POA;6786
06/03/2021;REC;5401
06/03/2021;SSA;3954
06/03/2021;TECA;91240
06/03/2021;VIX;3498
07/03/2021;BHZ;1674
07/03/2021;CGB;263
07/03/2021;CGR;884
07/03/2021;RIO;3584
07/03/2021;POA;4655
07/03/2021;SSA;1936
07/03/2021;TECA;20424
07/03/2021;VIX;2620
08/03/2021;BHZ;9139
08/03/2021;BSB;5954
08/03/2021;CGB;6580
08/03/2021;CGR;2528
08/03/2021;FOR;2395
08/03/2021;RIO;8679
08/03/2021;MAO;2345
08/03/2021;POA;7298
08/03/2021;REC;5611
08/03/2021;SSA;8083
08/03/2021;TECA;52507
08/03/2021;VIX;4348
09/03/2021;BHZ;10981
09/03/2021;BSB;4211
09/03/2021;CGB;819
09/03/2021;CGR;833
09/03/2021;FOR;2976
09/03/2021;RIO;17533
09/03/2021;MAO;961
09/03/2021;POA;10368
09/03/2021;REC;10304
09/03/2021;SSA;6882
09/03/2021;TECA;107851
09/03/2021;VIX;7093
10/03/2021;BHZ;13209
10/03/2021;BSB;3547
10/03/2021;CGB;2831
10/03/2021;CGR;2274
10/03/2021;FOR;3107
10/03/2021;RIO;19819
10/03/2021;MAO;669
10/03/2021;POA;11149
10/03/2021;REC;8448
10/03/2021;SSA;4941
10/03/2021;TECA;130167
10/03/2021;VIX;8563
11/03/2021;BHZ;12596
11/03/2021;BSB;3925
11/03/2021;CGB;470
11/03/2021;CGR;1381
11/03/2021;FOR;919
11/03/2021;RIO;18977
11/03/2021;MAO;466
11/03/2021;POA;13165
11/03/2021;REC;7429
11/03/2021;SSA;5896
11/03/2021;TECA;145592
11/03/2021;VIX;9178
12/03/2021;BHZ;13448
12/03/2021;BSB;3858
12/03/2021;CGB;362
12/03/2021;CGR;2716
12/03/2021;FOR;819
12/03/2021;RIO;20135
12/03/2021;MAO;2812
12/03/2021;POA;11889
12/03/2021;REC;4794
12/03/2021;SSA;6882
12/03/2021;TECA;130044
12/03/2021;VIX;8957
13/03/2021;BHZ;5086
13/03/2021;BSB;3918
13/03/2021;CGB;5004
13/03/2021;CGR;179
13/03/2021;FOR;343
13/03/2021;RIO;12166
13/03/2021;MAO;1478
13/03/2021;POA;8440
13/03/2021;REC;5850
13/03/2021;SSA;6707
13/03/2021;TECA;114811
13/03/2021;VIX;4046
14/03/2021;BHZ;2664
14/03/2021;BSB;1479
14/03/2021;CGR;1758
14/03/2021;RIO;4099
14/03/2021;POA;2990
14/03/2021;SSA;1883
14/03/2021;TECA;29664
14/03/2021;VIX;2604
15/03/2021;BHZ;10914
15/03/2021;BSB;6283
15/03/2021;CGB;5048
15/03/2021;CGR;1971
15/03/2021;FOR;2560
15/03/2021;RIO;8879
15/03/2021;MAO;2019
15/03/2021;POA;11435
15/03/2021;REC;9048
15/03/2021;SSA;7383
15/03/2021;TECA;60124
15/03/2021;VIX;5306
16/03/2021;BHZ;13235
16/03/2021;BSB;3594
16/03/2021;CGB;3840
16/03/2021;CGR;912
16/03/2021;FOR;1950
16/03/2021;RIO;13983
16/03/2021;MAO;1140
16/03/2021;POA;11891
16/03/2021;REC;11767
16/03/2021;SSA;8950
16/03/2021;TECA;109569
16/03/2021;VIX;8758
17/03/2021;BHZ;13244
17/03/2021;BSB;3127
17/03/2021;CGB;1189
17/03/2021;CGR;1008
17/03/2021;FOR;3285
17/03/2021;RIO;21308
17/03/2021;MAO;132
17/03/2021;POA;13164
17/03/2021;REC;9519
17/03/2021;SSA;4646
17/03/2021;TECA;137511
17/03/2021;VIX;10171
18/03/2021;BHZ;14035
18/03/2021;BSB;5167
18/03/2021;CGB;3923
18/03/2021;CGR;1478
18/03/2021;FOR;2205
18/03/2021;RIO;21274
18/03/2021;MAO;679
18/03/2021;POA;13917
18/03/2021;REC;7151
18/03/2021;SSA;5452
18/03/2021;TECA;135966
18/03/2021;VIX;10710
19/03/2021;BHZ;13288
19/03/2021;BSB;4057
19/03/2021;CGB;2670
19/03/2021;CGR;1758
19/03/2021;FOR;952
19/03/2021;RIO;17240
19/03/2021;MAO;948
19/03/2021;POA;12578
19/03/2021;REC;6162
19/03/2021;SSA;6232
19/03/2021;TECA;136361
19/03/2021;VIX;10399
20/03/2021;BHZ;7235
20/03/2021;BSB;3541
20/03/2021;CGB;3386
20/03/2021;CGR;2279
20/03/2021;FOR;340
20/03/2021;RIO;15390
20/03/2021;MAO;1122
20/03/2021;POA;9432
20/03/2021;REC;6498
20/03/2021;SSA;5411
20/03/2021;TECA;122687
20/03/2021;VIX;4948
21/03/2021;BHZ;4175
21/03/2021;CGR;606
21/03/2021;RIO;5879
21/03/2021;POA;8464
21/03/2021;SSA;256
21/03/2021;TECA;30008
21/03/2021;VIX;3124
22/03/2021;BHZ;8862
22/03/2021;BSB;5704
22/03/2021;CGB;6198
22/03/2021;CGR;1505
22/03/2021;FOR;2561
22/03/2021;RIO;7469
22/03/2021;MAO;1307
22/03/2021;POA;9127
22/03/2021;REC;6536
22/03/2021;SSA;9007
22/03/2021;TECA;62775
22/03/2021;VIX;6124
23/03/2021;BHZ;11553
23/03/2021;BSB;5463
23/03/2021;CGB;3963
23/03/2021;CGR;1904
23/03/2021;FOR;2317
23/03/2021;RIO;16931
23/03/2021;MAO;294
23/03/2021;POA;11379
23/03/2021;REC;12852
23/03/2021;SSA;7476
23/03/2021;TECA;119909
23/03/2021;VIX;8079
24/03/2021;BHZ;13565
24/03/2021;BSB;2932
24/03/2021;CGB;1594
24/03/2021;CGR;725
24/03/2021;FOR;3199
24/03/2021;RIO;19311
24/03/2021;MAO;739
24/03/2021;POA;11731
24/03/2021;REC;10890
24/03/2021;SSA;5999
24/03/2021;TECA;133374
24/03/2021;VIX;9975
25/03/2021;BHZ;12496
25/03/2021;BSB;4576
25/03/2021;CGB;2638
25/03/2021;CGR;1603
25/03/2021;FOR;297
25/03/2021;RIO;18094
25/03/2021;MAO;464
25/03/2021;POA;13520
25/03/2021;REC;6652
25/03/2021;SSA;6902
25/03/2021;TECA;130475
25/03/2021;VIX;7499
26/03/2021;BHZ;14719
26/03/2021;BSB;4256
26/03/2021;CGB;2668
26/03/2021;CGR;1199
26/03/2021;FOR;2001
26/03/2021;RIO;17094
26/03/2021;MAO;3497
26/03/2021;POA;13048
26/03/2021;REC;8376
26/03/2021;SSA;2455
26/03/2021;TECA;116373
26/03/2021;VIX;8081
27/03/2021;BHZ;5766
27/03/2021;BSB;3190
27/03/2021;CGB;2186
27/03/2021;CGR;1460
27/03/2021;FOR;200
27/03/2021;RIO;11300
27/03/2021;MAO;1506
27/03/2021;POA;8463
27/03/2021;REC;5958
27/03/2021;SSA;6409
27/03/2021;TECA;100107
27/03/2021;VIX;4161
28/03/2021;BHZ;1328
28/03/2021;CGB;93
28/03/2021;RIO;4271
28/03/2021;POA;9714
28/03/2021;SSA;1489
28/03/2021;TECA;22069
28/03/2021;VIX;2037
29/03/2021;BHZ;12170
29/03/2021;BSB;3883
29/03/2021;CGB;5898
29/03/2021;CGR;2490
29/03/2021;FOR;3841
29/03/2021;RIO;6348
29/03/2021;MAO;908
29/03/2021;POA;7816
29/03/2021;REC;9121
29/03/2021;SSA;7708
29/03/2021;TECA;53163
29/03/2021;VIX;4308
30/03/2021;BHZ;9066
30/03/2021;BSB;5761
30/03/2021;CGB;565
30/03/2021;CGR;792
30/03/2021;FOR;1427
30/03/2021;RIO;11440
30/03/2021;MAO;387
30/03/2021;POA;10318
30/03/2021;REC;14189
30/03/2021;SSA;6833
30/03/2021;TECA;110737
30/03/2021;VIX;7015
31/03/2021;BHZ;1
31/03/2021;TECA;675
01/04/2021;BHZ;17907
01/04/2021;BSB;4089
01/04/2021;CGB;507
01/04/2021;CGR;1768
01/04/2021;FOR;602
01/04/2021;RIO;15830
01/04/2021;MAO;2767
01/04/2021;POA;12367
01/04/2021;REC;4992
01/04/2021;SSA;5600
01/04/2021;TECA;122295
01/04/2021;VIX;7594
02/04/2021;BHZ;6619
02/04/2021;CGB;2972
02/04/2021;RIO;8395
02/04/2021;POA;10011
02/04/2021;REC;4833
02/04/2021;SSA;7195
02/04/2021;TECA;80090
02/04/2021;VIX;3172
03/04/2021;BHZ;7729
03/04/2021;BSB;3856
03/04/2021;CGB;2996
03/04/2021;CGR;1820
03/04/2021;FOR;1394
03/04/2021;RIO;9071
03/04/2021;MAO;839
03/04/2021;POA;2765
03/04/2021;REC;10482
03/04/2021;SSA;3679
03/04/2021;TECA;48089
03/04/2021;VIX;1750
04/04/2021;BHZ;1594
04/04/2021;BSB;1059
