Documento;DatadoTracking;DescricaoDoTracking;Insucesso
2764654041;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762644361;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758443321;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764503301;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758468561;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758749741;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757103051;03/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2762611351;30/04/2025;INSUCESSO DE ENTREGA;Cliente
2764883182;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759845811;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764490021;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763241301;20/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764359451;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763804341;25/04/2025;ENTREGA COM DATA ESPECIAL - NAO CARREGOU;Cliente
2758964821;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762220962;18/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762794801;18/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758547932;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762617411;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761211241;16/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760032471;09/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764394161;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757935381;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762127231;16/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760106371;09/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757160841;31/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758682491;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757574791;03/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760021471;11/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762956501;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762249851;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761123081;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763432111;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757005591;31/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762181811;16/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763645221;22/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763230072;20/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763134961;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764332901;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758231011;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761619271;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763135111;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764016391;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761646421;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761378181;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764650691;28/04/2025;ENTREGA COM DATA ESPECIAL;Cliente
2763716421;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758858211;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763787571;27/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762892361;06/05/2025;INSUCESSO DE ENTREGA;Cliente
2763259592;20/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761121582;13/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765087362;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764412841;27/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763232931;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762246731;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760210201;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762391572;17/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764604691;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762050921;15/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759037701;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763910391;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759257422;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757593572;02/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758478711;05/04/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2764958122;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763390372;26/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2761647191;30/04/2025;INSUCESSO DE ENTREGA;Cliente
2756823431;01/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2753557141;02/06/2025;INSUCESSO DE ENTREGA;Cliente
2760587272;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756620101;30/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759035991;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760944181;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762427201;18/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762978031;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762214181;16/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763650071;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764609821;09/05/2025;DESTINATARIO DESCONHECIDO NO LOCAL;Cliente
2752553841;15/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764324051;24/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759712031;10/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758051482;03/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759453991;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759908471;23/04/2025;INSUCESSO DE ENTREGA;Cliente
2759670241;08/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761116001;12/04/2025;MERCADORIA PENDENTE;Pendencia
2764886761;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763363281;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761814261;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764366601;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760800421;13/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2754962511;24/03/2025;103 TROCA DE CD (PROCESSO ONLINE);Transporte
2757829181;02/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759862281;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2765093941;29/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758878171;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762641901;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763083831;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758867611;06/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765692431;29/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758225631;04/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2758464931;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756876261;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757915631;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758669241;09/04/2025;ENTREGA COM DATA ESPECIAL;Cliente
2765718431;29/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2757579771;01/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2756895301;30/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761361971;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760208581;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757763801;02/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2755553942;10/04/2025;MERCADORIA PENDENTE;Pendencia
2760313252;13/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761024991;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758997441;08/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2757914141;02/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759030781;06/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763112411;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763470161;22/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761156231;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764709421;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763393841;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758222181;03/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2760405151;10/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2765368091;28/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764499591;25/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2759277851;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762546801;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761363361;14/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764990861;28/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763780681;24/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2746505941;29/04/2025;BARRAR ENTREGA;Cliente
2758901472;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762361661;22/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2760770021;14/04/2025;ENDERECO NAO LOCALIZADO;Cliente
2761263701;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762090551;17/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758811081;07/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761197061;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758007731;03/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758882901;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762005381;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761265841;14/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2765768672;29/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763100891;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761072781;12/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763870121;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764897661;26/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760802401;12/04/2025;A TRANSFERENCIA DA MERCADORIA NAO FOI CONFIRMADA;CD
2764158571;25/04/2025;DESTINATARIO AUSENTE NA SEGUNDA TENTATIVA;Cliente
2758397521;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763012451;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762045411;20/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2764655361;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763478801;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763435622;23/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2764187881;25/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763807031;23/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2762041041;15/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761462461;14/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2761378291;13/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763187721;20/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2763074521;19/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761495322;15/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2760128351;09/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2762790201;30/04/2025;INSUCESSO DE ENTREGA;Cliente
2756613351;31/03/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2759519642;08/04/2025;DOCUMENTO NAO LIBERADO ATE O MOMENTO DA EMISSAO NF;Loja
2765101361;27/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2763672001;22/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2754812131;21/05/2025;INSUCESSO DE ENTREGA;Cliente
2757779011;02/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758072831;03/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758440271;04/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2758790221;05/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2756784221;31/03/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2751794833;13/03/2025;MERCADORIA PENDENTE;Pendencia
2763133162;21/04/2025;DOCUMENTO NAO LIBERADO PARA ENTREGA;Loja
2761249611;17/04/2025;CLIENTE AUSENTE;Cliente
2757876421;04/04/2025;PERDA LOGISTICA;Pendencia
2761223871;25/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2758733611;17/04/2025;CLIENTE AUSENTE;Cliente
2759646241;03/05/2025;CLIENTE AUSENTE;Cliente
2762154541;16/04/2025;PERDA LOGISTICA;Pendencia
2758297401;14/04/2025;CLIENTE AUSENTE;Cliente
2757574721;03/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758265651;09/04/2025;RUA INTRANSITAVEL;Transporte
2760034811;22/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2762027571;25/04/2025;CLIENTE AUSENTE;Cliente
2762878501;24/04/2025;RUA NAO LOCALIZADA;Cliente
2755480161;02/04/2025;RUA NAO LOCALIZADA;Cliente
2759987441;28/04/2025;ATRASO NA ENTREGA DE 3 DIAS;Transporte
2760634861;14/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2763408041;23/04/2025;CLIENTE DESCONHECIDO NO ENDERECO;Cliente
2758767631;07/04/2025;ATRASO NA ENTREGA DE 1 DIA;Transporte
2761555151;03/05/2025;CLIENTE AUSENTE;Cliente
2759517311;10/04/2025;RUA NAO LOCALIZADA;Cliente
